benchmark,system,setting,instance,N,status,time,timeout,memout,error,models,clingo_total,grounding,solving,mem,choices,conflicts,restarts,rules,variables,atoms,constraints,decide_calls,lazy_active,avg_candidates_per_decide,max_candidates_seen,total_candidates_seen,total_decide_time_ms,total_prolog_query_time_ms,total_candidate_scan_time_ms,total_candidate_selection_time_ms,total_literal_lookup_time_ms,total_state_sync_time_ms,par2
BSP,clingo-native,ga,bsp-0010,10,SATISFIABLE,0.03,0,0,0,1.0,0.007,0.007,0.0,0.0,10.0,0.0,0.0,4780.0,242.0,636.0,3508.0,,,,,,,,,,,,0.03
BSP,clingo-native,ga,bsp-0020,20,SATISFIABLE,0.09,0,0,0,1.0,0.065,0.065,0.0,0.0,20.0,0.0,0.0,54815.0,882.0,2371.0,45768.0,,,,,,,,,,,,0.09
BSP,clingo-native,ga,bsp-0030,30,SATISFIABLE,0.45,0,0,0,1.0,0.426,0.426,0.0,40.0,30.0,0.0,0.0,249100.0,1922.0,5206.0,219778.0,,,,,,,,,,,,0.45
BSP,clingo-native,ga,bsp-0040,40,SATISFIABLE,1.6,0,0,0,1.0,1.567,1.567,0.0,101.0,40.0,0.0,0.0,746635.0,3362.0,9141.0,678538.0,,,,,,,,,,,,1.6
BSP,clingo-native,ga,bsp-0050,50,SATISFIABLE,3.92,0,0,0,1.0,3.88,3.88,0.0,232.0,50.0,0.0,0.0,1766420.0,5202.0,14176.0,1635048.0,,,,,,,,,,,,3.92
BSP,clingo-native,ga,bsp-0060,60,SATISFIABLE,150.5,0,0,0,1.0,150.449,8.169000000000011,142.28,473.0,1668059.0,1462705.0,4092.0,3587455.0,7442.0,20311.0,3362308.0,,,,,,,,,,,,150.5
BSP,clingo-native,ga,bsp-0070,70,UNKNOWN,300,1,0,0,0.0,299.986,15.336000000000013,284.65,883.0,2498137.0,2143222.0,5881.0,6548740.0,10082.0,27546.0,6193318.0,,,,,,,,,,,,600
BSP,clingo-native,ga,bsp-0080,80,UNKNOWN,300,1,0,0,0.0,299.986,27.786,272.2,1364.0,1587517.0,1308358.0,3967.0,11049275.0,13122.0,35881.0,10521078.0,,,,,,,,,,,,600
BSP,clingo-native,ga,bsp-0090,90,UNKNOWN,300,1,0,0,0.0,299.961,46.18100000000001,253.78,2213.0,1041640.0,845317.0,2437.0,17548060.0,16562.0,45316.0,16798588.0,,,,,,,,,,,,600
BSP,clingo-native,ga,bsp-0100,100,UNKNOWN,300,1,0,0,0.0,299.99,73.82000000000002,226.17,3362.0,739624.0,566560.0,1913.0,26564095.0,20402.0,55851.0,25538848.0,,,,,,,,,,,,600
BSP,clingo-native,ga,bsp-0110,110,UNKNOWN,300,1,0,0,0.0,299.97,114.89000000000001,185.08,4771.0,452959.0,346642.0,1047.0,38676380.0,24642.0,67486.0,37314858.0,,,,,,,,,,,,600
BSP,clingo-native,ga,bsp-0120,120,UNKNOWN,300,1,0,0,0.0,299.99,165.13,134.86,6935.0,238397.0,169552.0,623.0,54523915.0,29282.0,80221.0,52759618.0,,,,,,,,,,,,600
BSP,clingo-native,ga_weak,bsp-0010,10,SATISFIABLE,0.03,0,0,0,1.0,0.006,0.006,0.0,0.0,52.0,46.0,0.0,4960.0,246.0,798.0,3536.0,,,,,,,,,,,,0.03
BSP,clingo-native,ga_weak,bsp-0020,20,SATISFIABLE,0.09,0,0,0,1.0,0.066,0.056,0.01,0.0,606.0,524.0,5.0,55480.0,886.0,2998.0,45816.0,,,,,,,,,,,,0.09
BSP,clingo-native,ga_weak,bsp-0030,30,SATISFIABLE,0.61,0,0,0,1.0,0.581,0.43099999999999994,0.15,38.0,7181.0,6262.0,39.0,250550.0,1926.0,6598.0,219846.0,,,,,,,,,,,,0.61
BSP,clingo-native,ga_weak,bsp-0040,40,SATISFIABLE,1.87,0,0,0,1.0,1.84,1.55,0.29,99.0,8336.0,6820.0,45.0,749170.0,3366.0,11598.0,678626.0,,,,,,,,,,,,1.87
BSP,clingo-native,ga_weak,bsp-0050,50,SATISFIABLE,4.38,0,0,0,1.0,4.344,3.814,0.53,231.0,10885.0,8301.0,59.0,1770340.0,5206.0,17998.0,1635156.0,,,,,,,,,,,,4.38
BSP,clingo-native,ga_weak,bsp-0060,60,SATISFIABLE,9.74,0,0,0,1.0,9.7,8.049999999999999,1.65,461.0,23762.0,18034.0,107.0,3593060.0,7446.0,25798.0,3362436.0,,,,,,,,,,,,9.74
BSP,clingo-native,ga_weak,bsp-0070,70,SATISFIABLE,19.48,0,0,0,1.0,19.425,15.225000000000001,4.2,863.0,44451.0,34150.0,163.0,6556330.0,10086.0,34998.0,6193466.0,,,,,,,,,,,,19.48
BSP,clingo-native,ga_weak,bsp-0080,80,SATISFIABLE,34.76,0,0,0,1.0,34.673,27.703000000000003,6.97,1338.0,48687.0,35332.0,182.0,11059150.0,13126.0,45598.0,10521246.0,,,,,,,,,,,,34.76
